MONEDA; MONTODEUDASOL ;EQUIPO;Fecha Desembolso;Dias desde Desembolso;TEA DESEMBOLSO PROMEDIO (%);TEA OFERTA;NIVEL DE PRIORIDAD;
SOLES;200000;Bex Digital 15;1/11/2020;140;6,37%;5,37%;Prioridad 4;
SOLES;355027;Bex Digital 10;1/6/2020;293;6,59%;5,59%;Prioridad 3;
SOLES;497072;Bex Digital 20;1/10/2018;902;7,05%;6,05%;Prioridad 1;
SOLES;433536;Bex Digital 13;1/8/2020;232;6,07%;5,07%;Prioridad 3;
SOLES;595183;Bex Digital 3 ;1/1/2020;445;6,82%;5,82%;Prioridad 4;
SOLES;374707;Bex Digital 17;1/5/2020;324;6,58%;5,58%;Prioridad 2;
SOLES;720067;Bex Digital 4 ;1/6/2020;293;6,59%;5,59%;Prioridad 3;
SOLES;224034;Bex Digital 9 ;1/9/2020;201;5,84%;5,00%;Prioridad 4;
SOLES;542913;Bex Digital 3 ;1/7/2020;263;6,44%;5,44%;Prioridad 3;
SOLES;406744;Bex Digital 18;1/8/2020;232;6,07%;5,07%;Prioridad 3;
SOLES;217040;Bex Digital 2 ;1/2/2020;414;6,82%;5,82%;Prioridad 4;
SOLES;449063;Bex Digital 19;1/11/2019;506;6,83%;5,83%;Prioridad 4;
SOLES;344682;Bex Digital 5 ;1/10/2017;1267;8,39%;7,39%;Prioridad 4;
SOLES;406648;Bex Digital 15;1/8/2020;232;6,07%;5,07%;Prioridad 3;
SOLES;793484;Bex Digital 16;1/7/2020;263;6,44%;5,44%;Prioridad 3;
SOLES;297895;Bex Digital 9 ;1/3/2019;751;8,08%;7,08%;Prioridad 4;
SOLES;377173;Bex Digital 10;1/8/2020;232;6,07%;5,07%;Prioridad 3;
SOLES;401018;Bex Digital 14;1/9/2020;201;5,84%;5,00%;Prioridad 4;
SOLES;351116;Bex Digital 16;1/6/2020;293;6,59%;5,59%;Prioridad 3;
SOLES;324322;Bex Digital 5 ;1/6/2020;293;6,59%;5,59%;Prioridad 3;
SOLES;235205;Bex Digital 10;1/9/2019;567;7,18%;6,18%;Prioridad 4;
SOLES;485178;Bex Digital 10;1/9/2019;567;7,18%;6,18%;Prioridad 4;
SOLES;361047;Bex Digital 18;1/10/2019;537;6,96%;5,96%;Prioridad 4;
SOLES;229458;Bex Digital 14;1/2/2015;2240;8,83%;7,83%;Prioridad 4;
SOLES;428645;Bex Digital 15;1/2/2019;779;8,15%;7,15%;Prioridad 4;
SOLES;355583;Bex Digital 7 ;1/7/2020;263;6,44%;5,44%;Prioridad 3;
SOLES;772680;Bex Digital 15;1/2/2018;1144;7,45%;6,45%;Prioridad 4;
SOLES;631733;Bex Digital 3 ;1/10/2020;171;6,10%;5,10%;Prioridad 4;
SOLES;374400;Bex Digital 6 ;1/10/2020;171;6,10%;5,10%;Prioridad 4;
SOLES;584450;Bex Digital 14;1/7/2020;263;6,44%;5,44%;Prioridad 3;
SOLES;240763;Bex Digital 13;1/5/2020;324;6,58%;5,58%;Prioridad 2;
SOLES;648998;Bex Digital 10;1/9/2020;201;5,84%;5,00%;Prioridad 4;
SOLES;236430;Bex Digital 5 ;1/9/2015;2028;8,25%;7,25%;Prioridad 1;
SOLES;283194;Bex Digital 6 ;1/12/2015;1937;8,54%;7,54%;Prioridad 1;
SOLES;683386;Bex Digital 3 ;1/8/2020;232;6,07%;5,07%;Prioridad 3;
SOLES;375842;Bex Digital 13;1/7/2020;263;6,44%;5,44%;Prioridad 3;
SOLES;287641;Bex Digital 11;1/7/2019;629;7,01%;6,01%;Prioridad 4;
SOLES;417924;Bex Digital 1;1/9/2020;201;5,84%;5,00%;Prioridad 4;
SOLES;539000;Bex Digital 4 ;1/10/2020;171;6,10%;5,10%;Prioridad 4;
SOLES;375746;Bex Digital 10;1/5/2020;324;6,58%;5,58%;Prioridad 2;
SOLES;399014;Bex Digital 18;1/9/2020;201;5,84%;5,00%;Prioridad 4;
SOLES;378704;Bex Digital 20;1/5/2017;1420;8,57%;7,57%;Prioridad 4;
SOLES;723014;Bex Digital 11;1/6/2020;293;6,59%;5,59%;Prioridad 3;
SOLES;434279;Bex Digital 14;1/6/2020;293;6,59%;5,59%;Prioridad 3;
SOLES;319985;Bex Digital 6 ;1/6/2020;293;6,59%;5,59%;Prioridad 3;
SOLES;264831;Bex Digital 5 ;1/6/2018;1024;7,14%;6,14%;Prioridad 2;
SOLES;332252;Bex Digital 15;1/3/2018;1116;7,30%;6,30%;Prioridad 4;
SOLES;203186;Bex Digital 14;1/6/2020;293;6,59%;5,59%;Prioridad 3;
SOLES;323506;Bex Digital 6 ;1/9/2020;201;5,84%;5,00%;Prioridad 4;
SOLES;326112;Bex Digital 7 ;1/8/2020;232;6,07%;5,07%;Prioridad 3;
SOLES;423642;Bex Digital 10;1/5/2018;1055;7,43%;6,43%;Prioridad 3;
SOLES;458653;Bex Digital 6 ;1/11/2020;140;6,37%;5,37%;Prioridad 4;
SOLES;236501;Bex Digital 11;1/11/2019;506;6,83%;5,83%;Prioridad 4;
SOLES;410120;Bex Digital 7 ;1/11/2020;140;6,37%;5,37%;Prioridad 4;
SOLES;275012;Bex Digital 1;1/12/2016;1571;8,57%;7,57%;Prioridad 4;
SOLES;924696;Bex Digital 7 ;1/11/2020;140;6,37%;5,37%;Prioridad 4;
SOLES;256349;Bex Digital 11;1/7/2020;263;6,44%;5,44%;Prioridad 3;
SOLES;490757;Bex Digital 13;1/10/2020;171;6,10%;5,10%;Prioridad 4;
SOLES;252604;Bex Digital 13;1/7/2016;1724;9,52%;8,52%;Prioridad 4;
SOLES;274845;Bex Digital 10;1/2/2015;2240;8,83%;7,83%;Prioridad 4;
SOLES;260340;Bex Digital 9 ;1/6/2020;293;6,59%;5,59%;Prioridad 3;
SOLES;771560;Bex Digital 9 ;1/2/2020;414;6,82%;5,82%;Prioridad 4;
SOLES;411473;Bex Digital 18;1/9/2018;932;7,00%;6,00%;Prioridad 2;
SOLES;793420;Bex Digital 11;1/10/2020;171;6,10%;5,10%;Prioridad 4;
SOLES;1390303;Bex Digital 16;1/6/2020;293;6,59%;5,59%;Prioridad 3;
SOLES;649223;Bex Digital 13;1/7/2020;263;6,44%;5,44%;Prioridad 3;
SOLES;371759;Bex Digital 21;1/6/2020;293;6,59%;5,59%;Prioridad 3;
SOLES;504676;Bex Digital 20;1/10/2020;171;6,10%;5,10%;Prioridad 4;
SOLES;206460;Bex Digital 6 ;1/10/2020;171;6,10%;5,10%;Prioridad 4;
SOLES;218359;Bex Digital 11;1/9/2020;201;5,84%;5,00%;Prioridad 4;
SOLES;674629;Bex Digital 7 ;1/7/2020;263;6,44%;5,44%;Prioridad 3;
SOLES;579732;Bex Digital 11;1/9/2018;932;7,00%;6,00%;Prioridad 2;
SOLES;318134;Bex Digital 9 ;1/5/2018;1055;7,43%;6,43%;Prioridad 3;
SOLES;223464;Bex Digital 4 ;1/6/2020;293;6,59%;5,59%;Prioridad 3;
SOLES;409827;Bex Digital 18;1/11/2019;506;6,83%;5,83%;Prioridad 4;
SOLES;239468;Bex Digital 19;1/9/2020;201;5,84%;5,00%;Prioridad 4;
SOLES;268236;Bex Digital 7 ;1/11/2019;506;6,83%;5,83%;Prioridad 4;
SOLES;239943;Bex Digital 9 ;1/7/2020;263;6,44%;5,44%;Prioridad 3;
SOLES;212246;Bex Digital 17;1/9/2018;932;7,00%;6,00%;Prioridad 2;
SOLES;592770;Bex Digital 4 ;1/6/2020;293;6,59%;5,59%;Prioridad 3;
SOLES;317764;Bex Digital 12;1/6/2020;293;6,59%;5,59%;Prioridad 3;
SOLES;342923;Bex Digital 15;1/3/2019;751;8,08%;7,08%;Prioridad 4;
SOLES;718309;Bex Digital 7 ;1/9/2020;201;5,84%;5,00%;Prioridad 4;
SOLES;267013;Bex Digital 17;1/12/2019;476;6,84%;5,84%;Prioridad 4;
SOLES;631288;Bex Digital 14;1/7/2020;263;6,44%;5,44%;Prioridad 3;
SOLES;396909;Bex Digital 17;1/9/2019;567;7,18%;6,18%;Prioridad 4;
SOLES;513170;Bex Digital 2 ;1/8/2020;232;6,07%;5,07%;Prioridad 3;
SOLES;669057;Bex Digital 2 ;1/7/2018;994;7,15%;6,15%;Prioridad 2;
SOLES;217305;Bex Digital 10;1/11/2019;506;6,83%;5,83%;Prioridad 4;
SOLES;732291;Bex Digital 18;1/10/2020;171;6,10%;5,10%;Prioridad 4;
SOLES;367974;Bex Digital 10;1/5/2018;1055;7,43%;6,43%;Prioridad 3;
SOLES;384708;Bex Digital 19;1/6/2016;1754;9,77%;8,77%;Prioridad 4;
SOLES;895966;Bex Digital 2 ;1/11/2015;1967;8,63%;7,63%;Prioridad 2;
SOLES;744278;Bex Digital 3 ;1/6/2020;293;6,59%;5,59%;Prioridad 3;
SOLES;432498;Bex Digital 2 ;1/6/2020;293;6,59%;5,59%;Prioridad 3;
SOLES;393221;Bex Digital 13;1/7/2020;263;6,44%;5,44%;Prioridad 3;
SOLES;247367;Bex Digital 20;1/8/2019;598;7,43%;6,43%;Prioridad 4;
SOLES;305716;Bex Digital 4 ;1/8/2020;232;6,07%;5,07%;Prioridad 3;
SOLES;379264;Bex Digital 3 ;1/7/2020;263;6,44%;5,44%;Prioridad 3;
SOLES;382521;Bex Digital 15;1/6/2020;293;6,59%;5,59%;Prioridad 3;
SOLES;202899;Bex Digital 17;1/4/2018;1085;7,40%;6,40%;Prioridad 4;
SOLES;1147081;Bex Digital 12;1/1/2020;445;6,82%;5,82%;Prioridad 4;
SOLES;401536;Bex Digital 17;1/11/2019;506;6,83%;5,83%;Prioridad 4;
SOLES;276220;Bex Digital 6 ;1/3/2016;1846;9,31%;8,31%;Prioridad 3;
SOLES;401552;Bex Digital 17;1/6/2020;293;6,59%;5,59%;Prioridad 3;
SOLES;474018;Bex Digital 11;1/7/2020;263;6,44%;5,44%;Prioridad 3;
SOLES;729051;Bex Digital 7 ;1/7/2020;263;6,44%;5,44%;Prioridad 3;
SOLES;593057;Bex Digital 20;1/8/2020;232;6,07%;5,07%;Prioridad 3;
SOLES;942374;Bex Digital 6 ;1/4/2020;354;6,73%;5,73%;Prioridad 2;
SOLES;639862;Bex Digital 10;1/8/2020;232;6,07%;5,07%;Prioridad 3;
SOLES;552262;Bex Digital 18;1/4/2018;1085;7,40%;6,40%;Prioridad 4;
SOLES;368003;Bex Digital 11;1/10/2018;902;7,05%;6,05%;Prioridad 1;
SOLES;245491;Bex Digital 19;1/7/2019;629;7,01%;6,01%;Prioridad 4;
SOLES;226931;Bex Digital 11;1/5/2020;324;6,58%;5,58%;Prioridad 2;
SOLES;368470;Bex Digital 20;1/5/2020;324;6,58%;5,58%;Prioridad 2;
SOLES;394200;Bex Digital 3 ;1/11/2020;140;6,37%;5,37%;Prioridad 4;
SOLES;914760;Bex Digital 1;1/9/2020;201;5,84%;5,00%;Prioridad 4;
SOLES;234467;Bex Digital 5 ;1/12/2019;476;6,84%;5,84%;Prioridad 4;
SOLES;463476;Bex Digital 9 ;1/7/2020;263;6,44%;5,44%;Prioridad 3;
SOLES;221675;Bex Digital 12;1/8/2020;232;6,07%;5,07%;Prioridad 3;
SOLES;1420079;Bex Digital 18;1/5/2020;324;6,58%;5,58%;Prioridad 2;
SOLES;425169;Bex Digital 6 ;1/7/2020;263;6,44%;5,44%;Prioridad 3;
SOLES;230343;Bex Digital 9 ;1/4/2019;720;8,05%;7,05%;Prioridad 4;
SOLES;416630;Bex Digital 13;1/6/2017;1389;8,34%;7,34%;Prioridad 4;
SOLES;265159;Bex Digital 6 ;1/2/2020;414;6,82%;5,82%;Prioridad 4;
SOLES;1014118;Bex Digital 4 ;1/8/2018;963;7,40%;6,40%;Prioridad 3;
SOLES;292909;Bex Digital 21;1/8/2018;963;7,40%;6,40%;Prioridad 3;
SOLES;287167;Bex Digital 9 ;1/7/2020;263;6,44%;5,44%;Prioridad 3;
SOLES;203103;Bex Digital 6 ;1/8/2019;598;7,43%;6,43%;Prioridad 4;
SOLES;1031368;Bex Digital 9 ;1/8/2020;232;6,07%;5,07%;Prioridad 3;
SOLES;644955;Bex Digital 20;1/9/2019;567;7,18%;6,18%;Prioridad 4;
SOLES;558659;Bex Digital 17;1/10/2020;171;6,10%;5,10%;Prioridad 4;
SOLES;352389;Bex Digital 4 ;1/10/2019;537;6,96%;5,96%;Prioridad 4;
SOLES;253703;Bex Digital 13;1/6/2020;293;6,59%;5,59%;Prioridad 3;
SOLES;722258;Bex Digital 13;1/6/2020;293;6,59%;5,59%;Prioridad 3;
SOLES;345570;Bex Digital 19;1/7/2020;263;6,44%;5,44%;Prioridad 3;
SOLES;489707;Bex Digital 19;1/5/2014;2516;8,96%;7,96%;Prioridad 4;
SOLES;393470;Bex Digital 3 ;1/11/2016;1601;8,81%;7,81%;Prioridad 4;
SOLES;672723;Bex Digital 13;1/3/2019;751;8,08%;7,08%;Prioridad 4;
SOLES;736231;Bex Digital 3 ;1/6/2020;293;6,59%;5,59%;Prioridad 3;
SOLES;230136;Bex Digital 5 ;1/7/2020;263;6,44%;5,44%;Prioridad 3;
SOLES;253274;Bex Digital 10;1/9/2015;2028;8,25%;7,25%;Prioridad 1;
SOLES;632521;Bex Digital 4 ;1/7/2017;1359;8,34%;7,34%;Prioridad 4;
SOLES;984914;Bex Digital 7 ;1/7/2018;994;7,15%;6,15%;Prioridad 2;
SOLES;292137;Bex Digital 3 ;1/3/2017;1481;8,61%;7,61%;Prioridad 4;
SOLES;306470;Bex Digital 10;1/5/2017;1420;8,57%;7,57%;Prioridad 4;
SOLES;457879;Bex Digital 4 ;1/7/2020;263;6,44%;5,44%;Prioridad 3;
SOLES;424848;Bex Digital 13;1/9/2020;201;5,84%;5,00%;Prioridad 4;
SOLES;891485;Bex Digital 16;1/7/2020;263;6,44%;5,44%;Prioridad 3;
SOLES;258826;Bex Digital 15;1/12/2019;476;6,84%;5,84%;Prioridad 4;
SOLES;225395;Bex Digital 14;1/9/2019;567;7,18%;6,18%;Prioridad 4;
SOLES;861637;Bex Digital 16;1/6/2017;1389;8,34%;7,34%;Prioridad 4;
SOLES;235274;Bex Digital 17;1/9/2020;201;5,84%;5,00%;Prioridad 4;
SOLES;703411;Bex Digital 10;1/6/2018;1024;7,14%;6,14%;Prioridad 2;
SOLES;334870;Bex Digital 9 ;1/6/2020;293;6,59%;5,59%;Prioridad 3;
SOLES;542000;Bex Digital 7 ;1/11/2020;140;6,37%;5,37%;Prioridad 4;
SOLES;327390;Bex Digital 7 ;1/8/2020;232;6,07%;5,07%;Prioridad 3;
SOLES;1155784;Bex Digital 2 ;1/7/2020;263;6,44%;5,44%;Prioridad 3;
SOLES;500706;Bex Digital 9 ;1/6/2020;293;6,59%;5,59%;Prioridad 3;
SOLES;252083;Bex Digital 18;1/10/2020;171;6,10%;5,10%;Prioridad 4;
SOLES;343608;Bex Digital 10;1/8/2020;232;6,07%;5,07%;Prioridad 3;
SOLES;528988;Bex Digital 10;1/4/2017;1450;8,65%;7,65%;Prioridad 4;
SOLES;211882;Bex Digital 19;1/11/2018;871;7,18%;6,18%;Prioridad 1;
SOLES;298005;Bex Digital 17;1/1/2014;2636;8,91%;7,91%;Prioridad 4;
SOLES;258413;Bex Digital 20;1/6/2020;293;6,59%;5,59%;Prioridad 3;
SOLES;475716;Bex Digital 1;1/1/2020;445;6,82%;5,82%;Prioridad 4;
SOLES;351793;Bex Digital 2 ;1/6/2020;293;6,59%;5,59%;Prioridad 3;
SOLES;277807;Bex Digital 1;1/8/2020;232;6,07%;5,07%;Prioridad 3;
SOLES;387278;Bex Digital 10;1/10/2020;171;6,10%;5,10%;Prioridad 4;
SOLES;340029;Bex Digital 16;1/10/2020;171;6,10%;5,10%;Prioridad 4;
SOLES;524772;Bex Digital 5 ;1/10/2020;171;6,10%;5,10%;Prioridad 4;
SOLES;244725;Bex Digital 20;1/4/2017;1450;8,65%;7,65%;Prioridad 4;
SOLES;715000;Bex Digital 12;1/5/2019;690;8,11%;7,11%;Prioridad 4;
SOLES;325242;Bex Digital 7 ;1/6/2020;293;6,59%;5,59%;Prioridad 3;
SOLES;540995;Bex Digital 17;1/8/2020;232;6,07%;5,07%;Prioridad 3;
SOLES;227913;Bex Digital 17;1/7/2020;263;6,44%;5,44%;Prioridad 3;
SOLES;381980;Bex Digital 7 ;1/8/2020;232;6,07%;5,07%;Prioridad 3;
SOLES;420100;Bex Digital 12;1/3/2018;1116;7,30%;6,30%;Prioridad 4;
SOLES;593880;Bex Digital 20;1/11/2020;140;6,37%;5,37%;Prioridad 4;
SOLES;262286;Bex Digital 14;1/4/2018;1085;7,40%;6,40%;Prioridad 4;
SOLES;317533;Bex Digital 12;1/2/2020;414;6,82%;5,82%;Prioridad 4;
SOLES;407462;Bex Digital 12;1/7/2020;263;6,44%;5,44%;Prioridad 3;
SOLES;302153;Bex Digital 10;1/6/2020;293;6,59%;5,59%;Prioridad 3;
SOLES;695158;Bex Digital 13;1/9/2020;201;5,84%;5,00%;Prioridad 4;
SOLES;391938;Bex Digital 9 ;1/7/2020;263;6,44%;5,44%;Prioridad 3;
SOLES;254596;Bex Digital 14;1/7/2016;1724;9,52%;8,52%;Prioridad 4;
SOLES;216479;Bex Digital 18;1/10/2020;171;6,10%;5,10%;Prioridad 4;
SOLES;409973;Bex Digital 1;1/10/2020;171;6,10%;5,10%;Prioridad 4;
SOLES;806119;Bex Digital 11;1/4/2019;720;8,05%;7,05%;Prioridad 4;
SOLES;501463;Bex Digital 6 ;1/9/2020;201;5,84%;5,00%;Prioridad 4;
SOLES;415000;Bex Digital 14;1/9/2020;201;5,84%;5,00%;Prioridad 4;
SOLES;709481;Bex Digital 17;1/11/2020;140;6,37%;5,37%;Prioridad 4;
SOLES;255000;Bex Digital 1;1/11/2020;140;6,37%;5,37%;Prioridad 4;
SOLES;222075;Bex Digital 13;1/10/2020;171;6,10%;5,10%;Prioridad 4;
SOLES;310347;Bex Digital 4 ;1/6/2015;2120;8,23%;7,23%;Prioridad 3;
SOLES;300018;Bex Digital 11;1/7/2019;629;7,01%;6,01%;Prioridad 4;
SOLES;328174;Bex Digital 14;1/4/2018;1085;7,40%;6,40%;Prioridad 4;
SOLES;206141;Bex Digital 7 ;1/6/2020;293;6,59%;5,59%;Prioridad 3;
SOLES;408600;Bex Digital 19;1/10/2020;171;6,10%;5,10%;Prioridad 4;
SOLES;340644;Bex Digital 15;1/7/2020;263;6,44%;5,44%;Prioridad 3;
SOLES;489285;Bex Digital 9 ;1/6/2020;293;6,59%;5,59%;Prioridad 3;
SOLES;1071062;Bex Digital 9 ;1/5/2020;324;6,58%;5,58%;Prioridad 2;
SOLES;678314;Bex Digital 9 ;1/10/2020;171;6,10%;5,10%;Prioridad 4;
SOLES;225333;Bex Digital 21;1/8/2020;232;6,07%;5,07%;Prioridad 3;
SOLES;555076;Bex Digital 2 ;1/7/2020;263;6,44%;5,44%;Prioridad 3;
SOLES;374250;Bex Digital 4 ;1/6/2020;293;6,59%;5,59%;Prioridad 3;
SOLES;948818;Bex Digital 3 ;1/9/2018;932;7,00%;6,00%;Prioridad 2;
SOLES;265506;Bex Digital 14;1/6/2018;1024;7,14%;6,14%;Prioridad 2;
SOLES;257678;Bex Digital 20;1/10/2020;171;6,10%;5,10%;Prioridad 4;
SOLES;244816;Bex Digital 18;1/6/2020;293;6,59%;5,59%;Prioridad 3;
SOLES;241691;Bex Digital 6 ;1/10/2019;537;6,96%;5,96%;Prioridad 4;
SOLES;224810;Bex Digital 7 ;1/7/2020;263;6,44%;5,44%;Prioridad 3;
SOLES;379857;Bex Digital 10;1/8/2016;1693;9,41%;8,41%;Prioridad 4;
SOLES;326688;Bex Digital 18;1/7/2020;263;6,44%;5,44%;Prioridad 3;
SOLES;354425;Bex Digital 15;1/6/2020;293;6,59%;5,59%;Prioridad 3;
SOLES;232938;Bex Digital 1;1/6/2020;293;6,59%;5,59%;Prioridad 3;
SOLES;396743;Bex Digital 15;1/6/2020;293;6,59%;5,59%;Prioridad 3;
SOLES;555247;Bex Digital 5 ;1/7/2018;994;7,15%;6,15%;Prioridad 2;
SOLES;376489;Bex Digital 3 ;1/6/2020;293;6,59%;5,59%;Prioridad 3;
SOLES;264032;Bex Digital 17;1/7/2020;263;6,44%;5,44%;Prioridad 3;
SOLES;235944;Bex Digital 12;1/10/2019;537;6,96%;5,96%;Prioridad 4;
SOLES;352218;Bex Digital 1;1/10/2017;1267;8,39%;7,39%;Prioridad 4;
SOLES;756255;Bex Digital 1;1/10/2020;171;6,10%;5,10%;Prioridad 4;
SOLES;371669;Bex Digital 2 ;1/8/2020;232;6,07%;5,07%;Prioridad 3;
SOLES;200225;Bex Digital 6 ;1/12/2019;476;6,84%;5,84%;Prioridad 4;
SOLES;437379;Bex Digital 20;1/3/2014;2577;8,86%;7,86%;Prioridad 4;
SOLES;359686;Bex Digital 19;1/7/2020;263;6,44%;5,44%;Prioridad 3;
SOLES;883146;Bex Digital 1;1/1/2020;445;6,82%;5,82%;Prioridad 4;
SOLES;445402;Bex Digital 16;1/9/2020;201;5,84%;5,00%;Prioridad 4;
SOLES;505147;Bex Digital 6 ;1/3/2020;385;6,85%;5,85%;Prioridad 2;
SOLES;214063;Bex Digital 10;1/9/2020;201;5,84%;5,00%;Prioridad 4;
SOLES;977815;Bex Digital 5 ;1/6/2020;293;6,59%;5,59%;Prioridad 3;
SOLES;678633;Bex Digital 4 ;1/1/2018;1175;7,67%;6,67%;Prioridad 4;
SOLES;355687;Bex Digital 14;1/6/2020;293;6,59%;5,59%;Prioridad 3;
SOLES;307813;Bex Digital 15;1/6/2020;293;6,59%;5,59%;Prioridad 3;
SOLES;376969;Bex Digital 20;1/6/2020;293;6,59%;5,59%;Prioridad 3;
SOLES;421247;Bex Digital 6 ;1/6/2020;293;6,59%;5,59%;Prioridad 3;
SOLES;242582;Bex Digital 20;1/7/2020;263;6,44%;5,44%;Prioridad 3;
SOLES;675500;Bex Digital 17;1/11/2020;140;6,37%;5,37%;Prioridad 4;
SOLES;380365;Bex Digital 6 ;1/8/2019;598;7,43%;6,43%;Prioridad 4;
SOLES;271480;Bex Digital 6 ;1/2/2020;414;6,82%;5,82%;Prioridad 4;
SOLES;746009;Bex Digital 1;1/10/2020;171;6,10%;5,10%;Prioridad 4;
SOLES;260000;Bex Digital 4 ;1/11/2020;140;6,37%;5,37%;Prioridad 4;
SOLES;539596;Bex Digital 19;1/7/2020;263;6,44%;5,44%;Prioridad 3;
SOLES;315956;Bex Digital 3 ;1/8/2020;232;6,07%;5,07%;Prioridad 3;
SOLES;1000989;Bex Digital 17;1/9/2020;201;5,84%;5,00%;Prioridad 4;
SOLES;798342;Bex Digital 4 ;1/8/2020;232;6,07%;5,07%;Prioridad 3;
SOLES;298751;Bex Digital 12;1/5/2019;690;8,11%;7,11%;Prioridad 4;
SOLES;257758;Bex Digital 7 ;1/8/2020;232;6,07%;5,07%;Prioridad 3;
SOLES;565204;Bex Digital 16;1/1/2020;445;6,82%;5,82%;Prioridad 4;
SOLES;533351;Bex Digital 9 ;1/10/2018;902;7,05%;6,05%;Prioridad 1;
SOLES;239709;Bex Digital 5 ;1/4/2018;1085;7,40%;6,40%;Prioridad 4;
SOLES;989898;Bex Digital 12;1/10/2020;171;6,10%;5,10%;Prioridad 4;
SOLES;382357;Bex Digital 1;1/7/2020;263;6,44%;5,44%;Prioridad 3;
SOLES;230102;Bex Digital 16;1/5/2017;1420;8,57%;7,57%;Prioridad 4;
SOLES;437713;Bex Digital 7 ;1/3/2017;1481;8,61%;7,61%;Prioridad 4;
SOLES;707735;Bex Digital 14;1/6/2017;1389;8,34%;7,34%;Prioridad 4;
SOLES;744989;Bex Digital 17;1/2/2017;1509;8,57%;7,57%;Prioridad 4;
SOLES;268902;Bex Digital 3 ;1/6/2020;293;6,59%;5,59%;Prioridad 3;
SOLES;228713;Bex Digital 4 ;1/3/2017;1481;8,61%;7,61%;Prioridad 4;
SOLES;247708;Bex Digital 6 ;1/1/2019;810;7,86%;6,86%;Prioridad 3;
SOLES;354237;Bex Digital 6 ;1/5/2020;324;6,58%;5,58%;Prioridad 2;
SOLES;342553;Bex Digital 9 ;1/3/2019;751;8,08%;7,08%;Prioridad 4;
SOLES;306156;Bex Digital 21;1/8/2019;598;7,43%;6,43%;Prioridad 4;
SOLES;604823;Bex Digital 14;1/8/2018;963;7,40%;6,40%;Prioridad 3;
SOLES;413479;Bex Digital 19;1/11/2019;506;6,83%;5,83%;Prioridad 4;
SOLES;340780;Bex Digital 15;1/7/2020;263;6,44%;5,44%;Prioridad 3;
SOLES;334479;Bex Digital 3 ;1/12/2019;476;6,84%;5,84%;Prioridad 4;
SOLES;316771;Bex Digital 13;1/5/2020;324;6,58%;5,58%;Prioridad 2;
SOLES;238674;Bex Digital 7 ;1/12/2018;841;7,65%;6,65%;Prioridad 2;
SOLES;640241;Bex Digital 11;1/10/2020;171;6,10%;5,10%;Prioridad 4;
SOLES;299534;Bex Digital 4 ;1/9/2020;201;5,84%;5,00%;Prioridad 4;
SOLES;466057;Bex Digital 6 ;1/7/2020;263;6,44%;5,44%;Prioridad 3;
SOLES;409112;Bex Digital 21;1/7/2020;263;6,44%;5,44%;Prioridad 3;
SOLES;572549;Bex Digital 15;1/10/2020;171;6,10%;5,10%;Prioridad 4;
SOLES;700293;Bex Digital 12;1/9/2020;201;5,84%;5,00%;Prioridad 4;
SOLES;423511;Bex Digital 14;1/9/2020;201;5,84%;5,00%;Prioridad 4;
SOLES;633661;Bex Digital 4 ;1/12/2019;476;6,84%;5,84%;Prioridad 4;
SOLES;634138;Bex Digital 20;1/7/2020;263;6,44%;5,44%;Prioridad 3;
SOLES;315445;Bex Digital 14;1/6/2020;293;6,59%;5,59%;Prioridad 3;
SOLES;528712;Bex Digital 18;1/8/2020;232;6,07%;5,07%;Prioridad 3;
SOLES;230038;Bex Digital 13;1/4/2014;2546;8,63%;7,63%;Prioridad 4;
SOLES;408161;Bex Digital 13;1/1/2018;1175;7,67%;6,67%;Prioridad 4;
SOLES;287722;Bex Digital 10;1/10/2019;537;6,96%;5,96%;Prioridad 4;
SOLES;224789;Bex Digital 10;1/1/2017;1540;8,65%;7,65%;Prioridad 4;
SOLES;517890;Bex Digital 15;1/6/2020;293;6,59%;5,59%;Prioridad 3;
SOLES;273854;Bex Digital 20;1/10/2018;902;7,05%;6,05%;Prioridad 1;
SOLES;408541;Bex Digital 13;1/11/2019;506;6,83%;5,83%;Prioridad 4;
SOLES;628083;Bex Digital 2 ;1/5/2017;1420;8,57%;7,57%;Prioridad 4;
SOLES;418343;Bex Digital 18;1/10/2020;171;6,10%;5,10%;Prioridad 4;
SOLES;256129;Bex Digital 20;1/6/2020;293;6,59%;5,59%;Prioridad 3;
SOLES;382756;Bex Digital 6 ;1/11/2020;140;6,37%;5,37%;Prioridad 4;
SOLES;493803;Bex Digital 10;1/9/2020;201;5,84%;5,00%;Prioridad 4;
SOLES;262612;Bex Digital 10;1/9/2018;932;7,00%;6,00%;Prioridad 2;
SOLES;776299;Bex Digital 7 ;1/5/2020;324;6,58%;5,58%;Prioridad 2;
SOLES;484997;Bex Digital 10;1/9/2020;201;5,84%;5,00%;Prioridad 4;
SOLES;301843;Bex Digital 15;1/8/2014;2424;8,85%;7,85%;Prioridad 4;
SOLES;578078;Bex Digital 9 ;1/1/2020;445;6,82%;5,82%;Prioridad 4;
SOLES;319232;Bex Digital 15;1/4/2020;354;6,73%;5,73%;Prioridad 2;
SOLES;459335;Bex Digital 5 ;1/8/2020;232;6,07%;5,07%;Prioridad 3;
SOLES;476997;Bex Digital 14;1/10/2020;171;6,10%;5,10%;Prioridad 4;
SOLES;590047;Bex Digital 12;1/11/2020;140;6,37%;5,37%;Prioridad 4;
